date,ndvi
01-02-2014,0.378703303
02-02-2014,0.378745226
03-02-2014,0.378787149
04-02-2014,0.378829072
05-02-2014,0.378870995
06-02-2014,0.378912917
07-02-2014,0.37895484
08-02-2014,0.378996763
09-02-2014,0.379038686
10-02-2014,0.379080609
11-02-2014,0.379122532
12-02-2014,0.379164455
13-02-2014,0.379206378
14-02-2014,0.379248301
15-02-2014,0.379290224
16-02-2014,0.379332147
17-02-2014,0.37937407
18-02-2014,0.379415992
19-02-2014,0.379457915
20-02-2014,0.379499838
21-02-2014,0.379541761
22-02-2014,0.379583684
23-02-2014,0.379625607
24-02-2014,0.37966753
25-02-2014,0.379709453
26-02-2014,0.379751376
27-02-2014,0.379793299
28-02-2014,0.379835222
01-03-2014,0.379877144
02-03-2014,0.379919067
03-03-2014,0.37996099
04-03-2014,0.375538437
05-03-2014,0.371115884
06-03-2014,0.366693331
07-03-2014,0.362270778
08-03-2014,0.357848224
09-03-2014,0.353425671
10-03-2014,0.349003118
11-03-2014,0.344580565
12-03-2014,0.340158012
13-03-2014,0.335735458
14-03-2014,0.331312905
15-03-2014,0.326890352
16-03-2014,0.322467799
17-03-2014,0.318045246
18-03-2014,0.313622692
19-03-2014,0.309200139
20-03-2014,0.312062433
21-03-2014,0.314924727
22-03-2014,0.317787021
23-03-2014,0.320649314
24-03-2014,0.323511608
25-03-2014,0.326373902
26-03-2014,0.329236196
27-03-2014,0.332098489
28-03-2014,0.334960783
29-03-2014,0.337823077
30-03-2014,0.340685371
31-03-2014,0.343547664
01-04-2014,0.346409958
02-04-2014,0.349272252
03-04-2014,0.352134546
04-04-2014,0.354996839
05-04-2014,0.354048725
06-04-2014,0.353100611
07-04-2014,0.352152496
08-04-2014,0.351204382
09-04-2014,0.350256268
10-04-2014,0.349308153
11-04-2014,0.348360039
12-04-2014,0.347411925
13-04-2014,0.346463811
14-04-2014,0.345515696
15-04-2014,0.344567582
16-04-2014,0.343619468
17-04-2014,0.342671353
18-04-2014,0.341723239
19-04-2014,0.340775125
20-04-2014,0.33982701
21-04-2014,0.338878896
22-04-2014,0.337930782
23-04-2014,0.336982667
24-04-2014,0.336034553
25-04-2014,0.335086439
26-04-2014,0.334138324
27-04-2014,0.33319021
28-04-2014,0.332242096
29-04-2014,0.331293981
30-04-2014,0.330345867
01-05-2014,0.329397753
02-05-2014,0.328449639
03-05-2014,0.327501524
04-05-2014,0.32655341
05-05-2014,0.325605296
06-05-2014,0.324657181
07-05-2014,0.328470572
08-05-2014,0.332283962
09-05-2014,0.336097353
10-05-2014,0.339910744
11-05-2014,0.343724134
12-05-2014,0.347537525
13-05-2014,0.351350916
14-05-2014,0.355164306
15-05-2014,0.358977697
16-05-2014,0.3496488
17-05-2014,0.340319904
18-05-2014,0.330991007
19-05-2014,0.321662111
20-05-2014,0.312333215
21-05-2014,0.303004318
22-05-2014,0.293675422
23-05-2014,0.293407583
24-05-2014,0.293139745
25-05-2014,0.292871907
26-05-2014,0.292604069
27-05-2014,0.292336231
28-05-2014,0.292068393
29-05-2014,0.291800554
30-05-2014,0.291532716
31-05-2014,0.291264878
01-06-2014,0.29099704
02-06-2014,0.290729202
03-06-2014,0.290461363
04-06-2014,0.290193525
05-06-2014,0.289925687
06-06-2014,0.289657849
07-06-2014,0.289390011
08-06-2014,0.289122172
09-06-2014,0.288854334
10-06-2014,0.288586496
11-06-2014,0.288318658
12-06-2014,0.28805082
13-06-2014,0.287782981
14-06-2014,0.287515143
15-06-2014,0.287247305
16-06-2014,0.286979467
17-06-2014,0.286711629
18-06-2014,0.286443791
19-06-2014,0.286175952
20-06-2014,0.285908114
21-06-2014,0.285640276
22-06-2014,0.285372438
23-06-2014,0.2851046
24-06-2014,0.284836761
25-06-2014,0.284568923
26-06-2014,0.284301085
27-06-2014,0.284033247
28-06-2014,0.283765409
29-06-2014,0.28349757
30-06-2014,0.283229732
01-07-2014,0.282961894
02-07-2014,0.282694056
03-07-2014,0.282426218
04-07-2014,0.28215838
05-07-2014,0.281890541
06-07-2014,0.281622703
07-07-2014,0.281354865
08-07-2014,0.281087027
09-07-2014,0.280819189
10-07-2014,0.28055135
11-07-2014,0.280283512
12-07-2014,0.280015674
13-07-2014,0.279747836
14-07-2014,0.279479998
15-07-2014,0.279212159
16-07-2014,0.278944321
17-07-2014,0.278676483
18-07-2014,0.278408645
19-07-2014,0.278140807
20-07-2014,0.277872969
21-07-2014,0.27760513
22-07-2014,0.277337292
23-07-2014,0.277069454
24-07-2014,0.276801616
25-07-2014,0.276533778
26-07-2014,0.276265939
27-07-2014,0.275998101
28-07-2014,0.275730263
29-07-2014,0.275462425
30-07-2014,0.275194587
31-07-2014,0.274926748
01-08-2014,0.27465891
02-08-2014,0.274391072
03-08-2014,0.274123234
04-08-2014,0.273855396
05-08-2014,0.273587558
06-08-2014,0.273319719
07-08-2014,0.273051881
08-08-2014,0.272784043
09-08-2014,0.272516205
10-08-2014,0.272248367
11-08-2014,0.271980528
12-08-2014,0.27171269
13-08-2014,0.271444852
14-08-2014,0.271177014
15-08-2014,0.270909176
16-08-2014,0.270641337
17-08-2014,0.270373499
18-08-2014,0.270105661
19-08-2014,0.269837823
20-08-2014,0.269569985
21-08-2014,0.269302147
22-08-2014,0.269034308
23-08-2014,0.26876647
24-08-2014,0.268498632
25-08-2014,0.268230794
26-08-2014,0.267962956
27-08-2014,0.267695117
28-08-2014,0.267427279
29-08-2014,0.267159441
30-08-2014,0.266891603
31-08-2014,0.266623765
01-09-2014,0.266355926
02-09-2014,0.266088088
03-09-2014,0.26582025
04-09-2014,0.265552412
05-09-2014,0.265284574
06-09-2014,0.265016736
07-09-2014,0.264748897
08-09-2014,0.264481059
09-09-2014,0.264213221
10-09-2014,0.263945383
11-09-2014,0.263677545
12-09-2014,0.263409706
13-09-2014,0.263141868
14-09-2014,0.26287403
15-09-2014,0.262606192
16-09-2014,0.262338354
17-09-2014,0.262070515
18-09-2014,0.261802677
19-09-2014,0.261534839
20-09-2014,0.261267001
21-09-2014,0.260999163
22-09-2014,0.260731325
23-09-2014,0.260463486
24-09-2014,0.260195648
25-09-2014,0.25992781
26-09-2014,0.259659972
27-09-2014,0.259392134
28-09-2014,0.271902933
29-09-2014,0.284413732
30-09-2014,0.296924532
01-10-2014,0.309435331
02-10-2014,0.32194613
03-10-2014,0.334456929
04-10-2014,0.346967729
05-10-2014,0.359478528
06-10-2014,0.371989327
07-10-2014,0.384500127
08-10-2014,0.397010926
09-10-2014,0.409521725
10-10-2014,0.422032525
11-10-2014,0.434543324
12-10-2014,0.447054123
13-10-2014,0.459564923
14-10-2014,0.472075722
15-10-2014,0.484586521
16-10-2014,0.497097321
17-10-2014,0.50960812
18-10-2014,0.522118919
19-10-2014,0.534629718
20-10-2014,0.547140518
21-10-2014,0.559651317
22-10-2014,0.572162116
23-10-2014,0.584672916
24-10-2014,0.597183715
25-10-2014,0.609694514
26-10-2014,0.622205314
27-10-2014,0.634716113
28-10-2014,0.647226912
29-10-2014,0.659737712
30-10-2014,0.656817599
31-10-2014,0.653897486
01-11-2014,0.650977374
02-11-2014,0.648057261
03-11-2014,0.645137148
04-11-2014,0.642217036
05-11-2014,0.639296923
06-11-2014,0.63637681
07-11-2014,0.633456698
08-11-2014,0.630536585
09-11-2014,0.627616472
10-11-2014,0.62469636
11-11-2014,0.621776247
12-11-2014,0.618856135
13-11-2014,0.615936022
14-11-2014,0.613015909
15-11-2014,0.610095797
16-11-2014,0.607175684
17-11-2014,0.604255571
18-11-2014,0.601335459
19-11-2014,0.598415346
20-11-2014,0.595495233
21-11-2014,0.592575121
22-11-2014,0.589655008
23-11-2014,0.586734895
24-11-2014,0.583814783
25-11-2014,0.58089467
26-11-2014,0.577974557
27-11-2014,0.575054445
28-11-2014,0.572134332
29-11-2014,0.56921422
30-11-2014,0.566294107
01-12-2014,0.562952591
02-12-2014,0.559611074
03-12-2014,0.556269558
04-12-2014,0.552928042
05-12-2014,0.549586526
06-12-2014,0.546245009
07-12-2014,0.542903493
08-12-2014,0.539561977
09-12-2014,0.536220461
10-12-2014,0.532878944
11-12-2014,0.529537428
12-12-2014,0.526195912
13-12-2014,0.522854396
14-12-2014,0.519512879
15-12-2014,0.516171363
16-12-2014,0.512829847
17-12-2014,0.50948833
18-12-2014,0.506146814
19-12-2014,0.502805298
20-12-2014,0.499463782
21-12-2014,0.496122265
22-12-2014,0.492780749
23-12-2014,0.489439233
24-12-2014,0.486097717
25-12-2014,0.4827562
26-12-2014,0.479414684
27-12-2014,0.476073168
28-12-2014,0.472731652
29-12-2014,0.469390135
30-12-2014,0.466048619
31-12-2014,0.462707103
01-01-2015,0.459365587
02-01-2015,0.45602407
03-01-2015,0.452682554
04-01-2015,0.449341038
